YEAR,WORLDWIDE(US),US,UK,AUS,CHINA,EU,FRANCE,HONG KONG,INDIA,JAPAN,UAE,USSR/RUSSIA
1950,,0.46,£0.08 ($0.22),,,,,,,,,1.75 Rbls[60] ($0.33)
1951,,0.53,£0.08 ($0.22),,,,,,,,,
1952,,0.57,£0.08 ($0.22),,,,,,,,,
1953,,0.60,£0.08 ($0.22),,,,,,,,,
1954,,0.45,£0.09 ($0.25),,,,,,,,,
1955,,0.48,£0.09 ($0.25),,,,,HK$0.95[61],,¥63 ($0.18),,
1956,,0.50,£0.09 ($0.25),,,,1.22 F ($0.35)[62],,,¥62 ($0.17),,
1957,,0.51,£0.10 ($0.28),,,,1.33 F[63] ($0.37),,,¥62 ($0.17),,
1958,,0.51,£0.11 ($0.31),,,,,,,¥64 ($0.18),,
1959,,0.51,£0.12 ($0.34),,,,,,,¥65 ($0.18),,
1960,,0.60,£0.13 ($0.36),,,,,,₹1.35 ($0.28),¥72 ($0.20),,
1961,,0.69,£0.13 ($0.36),,,,,,₹1.35 ($0.28),¥85 ($0.24),,
1962,,0.70,£0.14 ($0.39),,,,,,₹1.35 ($0.28),¥115 ($0.32),,
1963,,0.85,£0.15 ($0.42),,,,,,₹1.44 ($0.30),¥152 ($0.42),,0.25 руб[64] ($0.28)
1964,,0.93,£0.17 ($0.48),,,,,,₹1.45 ($0.30),¥178 ($0.49),,0.25 руб[64] ($0.28)
1965,,1.01,£0.19 ($0.53),,,,3.04 F[63] ($0.62),,₹1.46 ($0.31),¥203 ($0.56),,0.25 руб[64] ($0.28)
1966,,1.09,£0.24 ($0.67),,,,3.34 F[63] ($0.68),,₹1.66 ($0.26),¥219 ($0.61),,0.25 руб[64] ($0.28)
1967,,1.20,£0.22 ($0.61),,,,,,₹1.66 ($0.22),¥236 ($0.66),,0.25 руб[64] ($0.28)
1968,,1.31,£0.24 ($0.58),,,,,HK$1.98[61] (US$0.33),₹1.67 ($0.22),¥262 ($0.73),,
1969,,1.42,£0.27 ($0.65),,,,,,₹1.67 ($0.22),¥295 ($0.82),,
1970,,1.55,£0.31 ($0.74),,,,,,₹1.89 (US$0.25),¥324 ($0.90),,
1971,,1.65,£0.34 ($0.83),,,,,,₹1.89 (US$0.25),¥366 ($1.04),,
1972,,1.70,£0.38 ($0.95),,,,,,₹1.96 (US$0.26),¥411 ($1.36),,
1973,,1.77,£0.43 ($1.05),,,,,,₹2.06 (US$0.27),¥500 ($1.84),,$0.47[65]
1974,,1.87,£0.50 ($1.17),,,,,HK$6[66] (US$1.19),₹2.38 (US$0.3),¥631 ($2.16),,$0.47[65]
1975,,2.05,£0.61 ($1.35),,,,,,₹2.40 ($0.29),¥751 ($2.53),,$0.47[65]
1976,,2.13,£0.73 ($1.31),A$3.30,,,,,₹2.47 (US$0.27),¥852 ($2.87),,
1977,,2.23,£0.83 ($1.45),A$3.50,,,,HK$5.33[61] (US$1.14),₹2.52 (US$0.29),¥923 ($3.44),,
1978,,2.34,£0.94 ($1.80),A$3.50,,,,,₹2.55 (US$0.31),¥967 ($4.60),,
1979,,2.51,£1.13 ($2.39),A$3.70,¥0.2[67] ($0.13),,,,₹2.76 (US$0.34),¥958 ($4.37),,
1980,,2.69,£1.42 ($3.30),A$4.00,¥0.2[67] ($0.13),€1.90 ($2.56),€2.70[53] ($3.64),HK$9[68] (US$1.81),₹2.92 (US$0.37),"¥1,009 ($4.45)",,
1981,,2.78,£1.58 ($3.17),A$4.50,¥0.2[67] ($0.12),,,,₹3.31 (US$0.38),"¥1,093 ($4.96)",,
1982,,2.94,£1.67 ($2.92),A$5.00,¥0.2[67] ($0.11),,,HK$12[68] (US$1.98),₹4.21 (US$0.44),"¥1,092 ($4.38)",,0.50 руб[69] ($0.72)
1983,,3.15,£1.90 ($2.88),A$5.60,¥0.2[67] ($0.10),,,HK$15[68] (US$2.06),₹4.21 (US$0.42),"¥1,093 ($4.60)",,
1984,,3.36,£1.91 ($2.54),A$5.40,¥0.2[67] ($0.09),,,HK$15[68] (US$1.92),₹4.21 (US$0.37),"¥1,144 ($4.82)",,
1985,,3.55,£1.71 ($2.19),A$5.40,,€3.10 ($2.27),€3.70[53] ($2.71),,₹4.38 (US$0.35),"¥1,118 ($4.69)",,
1986,,3.71,£1.88 ($2.76),A$5.31,,,,,₹4.24 (US$0.34),"¥1,116 ($6.62)",,
1987,,3.91,£2.15 ($3.51),A$6.16,,,,,₹7 (US$0.54)[70],"¥1,120 ($7.74)",,
1988,,4.11,£2.30 ($4.09),A$6.10,¥0.3[71] ($0.08),,,HK$15[72] (US$1.92),,"¥1,118 ($8.72)",,
1989,,3.97,£2.33 ($3.81),A$6.60,,,,HK$30[66] (US$3.85),,"¥1,161 ($8.42)",,
1990,,4.23,£2.81 ($4.99),A$6.61,,€4.20 ($5.32),€4.50[53] ($5.71),,,"¥1,177 ($8.13)",,
1991,,4.21,£3.03 ($5.34),A$6.95,,,,,,"¥1,181 ($8.77)",,
1992,,4.15,£3.21 ($5.63),A$7.09,,,,HK$32[72] (US$4.24)[73],,"¥1,210 ($9.55)",,
1993,,4.14,£3.21 ($4.81),A$7.00,,,,,₹8.45 (US$0.27)[74],"¥1,252 ($11.26)",,
1994,,4.18,£3.25 ($4.97),A$7.00,¥7.5 ($0.89)[75],,,,₹11.05 (US$0.35)[76],"¥1,249 ($12.22)",,
1995,,4.35,£3.48 ($5.49),A$7.17,¥7.5 ($0.89)[75],€4.70 ($6.26),€5.30[53] ($7.06),HK$48.9[51] (US$6.32),₹14.37 (US$0.44)[77],"¥1,243 ($13.21)",,
1996,,4.42,£3.70 ($5.77),A$7.26,,€4.80 ($6.19),€5.40[53] ($6.97),US$6.25[78],₹15.70 (US$0.44)[79],"¥1,245 ($11.45)",,
1997,,4.59,£4.07 ($6.66),A$7.47,$0.84[80],€5.00 ($5.65),€5.30[53] ($5.99),US$6.47[73],₹17.92 (US$0.49)[81],"¥1,259 ($10.41)",,
1998,,4.69,£4.03 ($6.67),A$7.87,$0.84[80],€5.10 ($5.68),€5.30[53] ($5.90),US$6.25[78],₹19.66 (US$0.48)[82],"¥1,264 ($9.66)",,
1999,,5.08,£4.21 ($6.81),A$7.93,,€5.30 ($5.64),€5.40[53] ($5.75),US$6.25[78],₹21.51[83] ($0.50),"¥1,263 ($11.09)",,
2000,,5.39,£4.40 ($6.66),A$8.39,¥5[84] ($0.60),€5.40 ($4.97),€5.40[53] ($4.97),,₹24.07 (US$0.54)[85],"¥1,262 ($11.71)",,
2001,,5.66,£4.14 ($5.96),A$8.78 (US$4.54),,€5.60 ($5.01),€5.50[53] ($4.83),HK$55[86] (US$7.05),₹26.66 (US$0.57)[87],"¥1,226 ($10.09)",Dh 30,
2002,,5.81,£4.29 ($6.43),A$9.13,,,,HK$55[86] (US$7.05),₹29.98 (US$0.62)[88],"¥1,224 ($9.76)",Dh 30,
2003,,6.03,£4.44 ($7.25),A$9.64,,,,,₹35.77 (US$0.77)[89],"¥1,252 ($10.8)",Dh 30,
2004,,6.21,£4.49 ($8.22),A$9.92,,,,,₹42.14 (US$0.93)[90],"¥1,240 ($11.46)",Dh 30,
2005,,6.41,£4.71 ($8.56),A$9.94,¥12.7 ($1.55),,€5.90[51] ($7.33),,₹49.16 (US$1.11)[91],"¥1,235 ($11.21)",Dh 30,
2006,,6.55,£4.87 ($8.96),A$10.37,¥14.9 ($1.87),,€5.90[51] ($7.40),US$7,₹53.91 (US$1.19)[92],"¥1,233 ($10.60)",Dh 30,
2007,,6.88,£5.05 ($10.10),A$10.57,¥16.9 ($2.22),,€5.90[51] ($8.07),US$6.70,₹60.73 (US$1.47)[93],"¥1,216 ($10.33)",Dh 35 ($7.90),
2008,,7.18,£5.20 ($9.56),A$11.17,¥20.1 ($2.89),,€6 ($8.82),US$7,₹69.76[94] ($1.60),"¥1,214 ($11.75)",$8.40,
2009,,7.50,£5.44 ($8.47),A$11.99,¥23.5 ($3.44),,€6.14,US$7.30,₹78.63 (US$1.62)[95],"¥1,217 ($13.01)",$5.30,
2010,,7.89,£5.95 ($9.19),A$12.26,¥35.1 ($5.18),,€6.33,US$7.70,₹88.60 (US$1.94)[96],"¥1,266 ($14.42)",$7.20,
2011,,7.93,£6.06 ($9.71),A$12.87,¥35.4 ($5.48),,€6.33,,₹95.48[97] ($2.05),"¥1,252 ($15.69)",$8.80,
2012,,7.96,£6.37 ($10.06),A$13.10,¥36.3 ($5.75),,€6.42,US$8.10,₹101.74[98],"¥1,258 ($15.77)",$11,
2013,,8.13,£6.53 ($10.210),A$13.41,¥35.6 ($5.75),,€6.46,US$8.40,₹109.75[99],"¥1,246",$11.30,
2014[100],$4.74,8.17,£6.72 ($13.30),A$13.68,¥35.7 ($5.81),,€6.38 ($12.29),US$8.50,₹117.89[101] ($3.22),"¥1,285 ($17.67)",,
2015,$4.86,8.43,£7.21,A$13.60,¥35,,€6.48,US$10.70,₹125.97[102],"¥1,303",$11.60,
2016,$4.99,8.65,£7.41,A$13.80,¥35[103],,€6.51,US$9.80,₹131.57[104],"¥1,307",,
2017,$5.11,8.97,£7.49,A$14.13,¥34.5,,€6.60[51],,₹134.38[105],"¥1,310",,
2018,$5.16,9.11,£7.22,A$13.86,¥35.3[106],,,,,"¥1,315",,
2019,,9.01,£7.11,A$14.50,¥37.1[106],,,,,"¥1,340",,
2020,,9.37,£6.75,A$14.23,¥37[106],,,,,"¥1,350",,
2021,,9.41,£7.52,A$15.24,¥40.3[106] ($6.25),,,,,"¥1,410",,
2022,,9.45,£7.69,A$16.26,¥42.1[106],,,,,"¥1,402",,